# MultiGeometry integrator with 121 geometries on (4, 66) radial range (2th_deg) and (-180, 180) azimuthal range (deg)
# 
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
# --> LaB6_BM20_over3.dat
#       2th_deg             I 
  6.578238e+00    2.256385e+09
  6.582314e+00    2.255926e+09
  6.586391e+00    2.253945e+09
  6.590467e+00    2.251075e+09
  6.594543e+00    2.247670e+09
  6.598619e+00    2.246441e+09
  6.602696e+00    2.244304e+09
  6.606772e+00    2.239264e+09
  6.610848e+00    2.238893e+09
  6.614924e+00    2.240250e+09
  6.619001e+00    2.239092e+09
  6.623077e+00    2.232738e+09
  6.627153e+00    2.234862e+09
  6.631229e+00    2.237242e+09
  6.635306e+00    2.237051e+09
  6.639382e+00    2.231704e+09
  6.643458e+00    2.225749e+09
  6.647535e+00    2.216247e+09
  6.651611e+00    2.208569e+09
  6.655687e+00    2.203564e+09
  6.659763e+00    2.200711e+09
  6.663840e+00    2.196975e+09
  6.667916e+00    2.194222e+09
  6.671992e+00    2.198063e+09
  6.676068e+00    2.200207e+09
  6.680145e+00    2.200404e+09
  6.684221e+00    2.196269e+09
  6.688297e+00    2.194405e+09
  6.692373e+00    2.192210e+09
  6.696450e+00    2.195015e+09
  6.700526e+00    2.191950e+09
  6.704602e+00    2.187032e+09
  6.708679e+00    2.177861e+09
  6.712755e+00    2.172299e+09
  6.716831e+00    2.171677e+09
  6.720907e+00    2.170984e+09
  6.724984e+00    2.168426e+09
  6.729060e+00    2.165835e+09
  6.733136e+00    2.161545e+09
  6.737212e+00    2.163714e+09
  6.741289e+00    2.167801e+09
  6.745365e+00    2.172837e+09
  6.749441e+00    2.174285e+09
  6.753517e+00    2.172185e+09
  6.757594e+00    2.170668e+09
  6.761670e+00    2.168698e+09
  6.765746e+00    2.167617e+09
  6.769822e+00    2.160946e+09
  6.773899e+00    2.156752e+09
  6.777975e+00    2.150530e+09
  6.782051e+00    2.150361e+09
  6.786128e+00    2.149047e+09
  6.790204e+00    2.151688e+09
  6.794280e+00    2.155514e+09
  6.798356e+00    2.159739e+09
  6.802433e+00    2.159305e+09
  6.806509e+00    2.156264e+09
  6.810585e+00    2.153847e+09
  6.814661e+00    2.153000e+09
  6.818738e+00    2.154404e+09
  6.822814e+00    2.154666e+09
  6.826890e+00    2.151866e+09
  6.830966e+00    2.146904e+09
  6.835043e+00    2.144321e+09
  6.839119e+00    2.142742e+09
  6.843195e+00    2.141917e+09
  6.847272e+00    2.136713e+09
  6.851348e+00    2.135258e+09
  6.855424e+00    2.133406e+09
  6.859500e+00    2.135992e+09
  6.863577e+00    2.139245e+09
  6.867653e+00    2.141403e+09
  6.871729e+00    2.142872e+09
  6.875805e+00    2.146212e+09
  6.879882e+00    2.146676e+09
  6.883958e+00    2.142327e+09
  6.888034e+00    2.134488e+09
  6.892110e+00    2.131090e+09
  6.896187e+00    2.133159e+09
  6.900263e+00    2.138349e+09
  6.904339e+00    2.142058e+09
  6.908416e+00    2.145333e+09
  6.912492e+00    2.144798e+09
  6.916568e+00    2.142713e+09
  6.920644e+00    2.136875e+09
  6.924721e+00    2.133995e+09
  6.928797e+00    2.134265e+09
  6.932873e+00    2.134180e+09
  6.936949e+00    2.133949e+09
  6.941026e+00    2.132653e+09
  6.945102e+00    2.131065e+09
  6.949178e+00    2.129242e+09
  6.953254e+00    2.127100e+09
  6.957331e+00    2.129856e+09
  6.961407e+00    2.131719e+09
  6.965483e+00    2.128791e+09
  6.969560e+00    2.125136e+09
  6.973636e+00    2.126420e+09
  6.977712e+00    2.126566e+09
  6.981788e+00    2.124381e+09
  6.985865e+00    2.118492e+09
  6.989941e+00    2.116691e+09
  6.994017e+00    2.117043e+09
  6.998093e+00    2.119683e+09
  7.002170e+00    2.117029e+09
  7.006246e+00    2.114531e+09
  7.010322e+00    2.112644e+09
  7.014398e+00    2.116543e+09
  7.018475e+00    2.115090e+09
  7.022551e+00    2.112350e+09
  7.026627e+00    2.109216e+09
  7.030703e+00    2.108909e+09
  7.034780e+00    2.111965e+09
  7.038856e+00    2.114624e+09
  7.042932e+00    2.113438e+09
  7.047009e+00    2.111276e+09
  7.051085e+00    2.107014e+09
  7.055161e+00    2.104918e+09
  7.059237e+00    2.101404e+09
  7.063314e+00    2.095773e+09
  7.067390e+00    2.090536e+09
  7.071466e+00    2.087870e+09
  7.075542e+00    2.089368e+09
  7.079619e+00    2.093833e+09
  7.083695e+00    2.096501e+09
  7.087771e+00    2.093008e+09
  7.091847e+00    2.085610e+09
  7.095924e+00    2.084423e+09
  7.100000e+00    2.085240e+09
  7.104076e+00    2.085687e+09
  7.108153e+00    2.084404e+09
  7.112229e+00    2.086431e+09
  7.116305e+00    2.087674e+09
  7.120381e+00    2.085618e+09
  7.124458e+00    2.078194e+09
  7.128534e+00    2.075250e+09
  7.132610e+00    2.076501e+09
  7.136686e+00    2.082006e+09
  7.140763e+00    2.084760e+09
  7.144839e+00    2.075660e+09
  7.148915e+00    2.064628e+09
  7.152991e+00    2.057086e+09
  7.157068e+00    2.055372e+09
